group,id,course,module,grade
1,79,Storytelling and Oral Tradition,3,13.3
1,79,Storytelling and Oral Tradition,3,12.9
1,79,Storytelling and Oral Tradition,3,13.1
1,79,Storytelling and Oral Tradition,3,9.4
1,79,Storytelling and Oral Tradition,3,15.4
1,79,Storytelling and Oral Tradition,3,11.8
1,79,Tribal Law and Customs,1,3.8
1,79,Tribal Law and Customs,1,10
1,79,Tribal Law and Customs,1,9.2
1,79,Tribal Law and Customs,1,9.2
1,79,Tribal Law and Customs,1,4.7
1,82,Animal Lore and Totemism,1,12.5
1,82,Animal Lore and Totemism,1,12.25
1,82,Animal Lore and Totemism,1,15.5
1,82,Animal Lore and Totemism,1,14
1,82,Animal Lore and Totemism,1,11.5
1,82,Animal Lore and Totemism,1,14.25
1,82,Animal Lore and Totemism,1,14.75
1,82,Astronomy and Celestial Navigation,3,17.5
1,82,Astronomy and Celestial Navigation,3,13.5
1,82,Astronomy and Celestial Navigation,3,15
1,82,Drumming and Music,2,14.5
1,82,Drumming and Music,2,13.5
1,82,Drumming and Music,2,15.5
1,82,Drumming and Music,2,18
1,82,Drumming and Music,2,19
1,82,Drumming and Music,2,8.5
1,82,Drumming and Music,2,15.5
1,82,Earth Magic and Fertility Rituals,1,10
1,82,Earth Magic and Fertility Rituals,1,7.5
1,82,Earth Magic and Fertility Rituals,1,11.5
1,82,Earth Magic and Fertility Rituals,1,9.5
1,82,Earth Magic and Fertility Rituals,1,11.5
1,82,Earth Magic and Fertility Rituals,1,9.5
1,82,Earth Magic and Fertility Rituals,1,10.5
1,82,Earth Magic and Fertility Rituals,1,10.5
1,82,Earth Magic and Fertility Rituals,1,12
1,82,Herbalism and Traditional Medicine,3,15.5
1,82,Herbalism and Traditional Medicine,3,12
1,82,Herbalism and Traditional Medicine,3,13.5
1,82,Herbalism and Traditional Medicine,3,12.5
1,82,Hunting and Gathering Skills,2,14
1,82,Hunting and Gathering Skills,2,8
1,82,Hunting and Gathering Skills,2,15
1,82,Hunting and Gathering Skills,2,9
1,82,Hunting and Gathering Skills,2,11
1,82,Hunting and Gathering Skills,2,14
1,82,Martial Arts and Self-Defense,1,10
1,82,Martial Arts and Self-Defense,1,9.5
1,82,Martial Arts and Self-Defense,1,9
1,82,Martial Arts and Self-Defense,1,9.5
1,82,Martial Arts and Self-Defense,1,11
1,82,Martial Arts and Self-Defense,1,11.5
1,82,Martial Arts and Self-Defense,1,8
1,82,Martial Arts and Self-Defense,1,11
1,82,Shamanism and Spirit Communication,3,13
1,82,Shamanism and Spirit Communication,3,11
1,82,Shamanism and Spirit Communication,3,13.5
1,82,Storytelling and Oral Tradition,3,12.6
1,82,Storytelling and Oral Tradition,3,15.8
1,82,Storytelling and Oral Tradition,3,13.9
1,82,Storytelling and Oral Tradition,3,11.1
1,82,Storytelling and Oral Tradition,3,7.7
1,82,Storytelling and Oral Tradition,3,13.6
1,82,Storytelling and Oral Tradition,3,11.7
1,82,Tribal Law and Customs,1,8.6
1,82,Tribal Law and Customs,1,7.7
1,82,Tribal Law and Customs,1,6.6
1,82,Tribal Law and Customs,1,9.5
1,82,Tribal Law and Customs,1,7.4
1,93,Animal Lore and Totemism,1,17.75
1,93,Animal Lore and Totemism,1,9
1,93,Animal Lore and Totemism,1,10.25
1,93,Animal Lore and Totemism,1,14.75
1,93,Animal Lore and Totemism,1,13
1,93,Animal Lore and Totemism,1,13
1,93,Animal Lore and Totemism,1,12.5
1,93,Animal Lore and Totemism,1,13
1,93,Astronomy and Celestial Navigation,3,13
1,93,Astronomy and Celestial Navigation,3,14
1,93,Astronomy and Celestial Navigation,3,13.5
1,93,Drumming and Music,2,14
1,93,Drumming and Music,2,17.5
1,93,Drumming and Music,2,14.5
1,93,Drumming and Music,2,15.5
1,93,Drumming and Music,2,14.5
1,93,Drumming and Music,2,13
1,93,Earth Magic and Fertility Rituals,1,10.5
1,93,Earth Magic and Fertility Rituals,1,12.5
1,93,Earth Magic and Fertility Rituals,1,13
1,93,Earth Magic and Fertility Rituals,1,9
1,93,Earth Magic and Fertility Rituals,1,9.5
1,93,Earth Magic and Fertility Rituals,1,12
1,93,Earth Magic and Fertility Rituals,1,10
1,93,Earth Magic and Fertility Rituals,1,11
1,93,Herbalism and Traditional Medicine,3,13
1,93,Herbalism and Traditional Medicine,3,16
1,93,Herbalism and Traditional Medicine,3,9.5
1,93,Herbalism and Traditional Medicine,3,11.5
1,93,Hunting and Gathering Skills,2,13
1,93,Hunting and Gathering Skills,2,9
1,93,Hunting and Gathering Skills,2,11
1,93,Hunting and Gathering Skills,2,7
1,93,Hunting and Gathering Skills,2,10
1,93,Hunting and Gathering Skills,2,14
1,93,Martial Arts and Self-Defense,1,9
1,93,Martial Arts and Self-Defense,1,11
1,93,Martial Arts and Self-Defense,1,10.5
1,93,Martial Arts and Self-Defense,1,8
1,93,Martial Arts and Self-Defense,1,9
1,93,Martial Arts and Self-Defense,1,10
1,93,Martial Arts and Self-Defense,1,9.5
1,93,Shamanism and Spirit Communication,3,13
1,93,Shamanism and Spirit Communication,3,14.5
1,93,Shamanism and Spirit Communication,3,12
1,93,Storytelling and Oral Tradition,3,10.8
1,93,Storytelling and Oral Tradition,3,12.9
1,93,Storytelling and Oral Tradition,3,16.8
1,93,Storytelling and Oral Tradition,3,13.7
1,93,Storytelling and Oral Tradition,3,13.5
1,93,Storytelling and Oral Tradition,3,11.9
1,93,Storytelling and Oral Tradition,3,13.6
1,93,Storytelling and Oral Tradition,3,14.7
1,93,Tribal Law and Customs,1,7.8
1,93,Tribal Law and Customs,1,5.8
1,93,Tribal Law and Customs,1,5.5
1,93,Tribal Law and Customs,1,2.6
1,93,Tribal Law and Customs,1,9.4
1,93,Tribal Law and Customs,1,6.2
1,112,Animal Lore and Totemism,1,15.75
1,112,Animal Lore and Totemism,1,13.5
1,112,Animal Lore and Totemism,1,15.25
1,112,Animal Lore and Totemism,1,11.75
1,112,Animal Lore and Totemism,1,17
1,112,Animal Lore and Totemism,1,10.5
1,112,Animal Lore and Totemism,1,17.75
1,112,Animal Lore and Totemism,1,9.75
1,112,Astronomy and Celestial Navigation,3,15
1,112,Astronomy and Celestial Navigation,3,13.5
1,112,Astronomy and Celestial Navigation,3,11
1,112,Drumming and Music,2,13.5
1,112,Drumming and Music,2,20
1,112,Drumming and Music,2,11
1,112,Drumming and Music,2,7
1,112,Drumming and Music,2,17
1,112,Drumming and Music,2,13.5
1,112,Drumming and Music,2,14.5
1,112,Earth Magic and Fertility Rituals,1,9.5
1,112,Earth Magic and Fertility Rituals,1,9.5
1,112,Earth Magic and Fertility Rituals,1,7.5
1,112,Earth Magic and Fertility Rituals,1,9
1,112,Earth Magic and Fertility Rituals,1,13.5
1,112,Earth Magic and Fertility Rituals,1,9
1,112,Earth Magic and Fertility Rituals,1,12
1,112,Earth Magic and Fertility Rituals,1,11
1,112,Earth Magic and Fertility Rituals,1,11.5
1,112,Herbalism and Traditional Medicine,3,13
1,112,Herbalism and Traditional Medicine,3,13
1,112,Herbalism and Traditional Medicine,3,12.5
1,112,Herbalism and Traditional Medicine,3,17
1,112,Hunting and Gathering Skills,2,9
1,112,Hunting and Gathering Skills,2,8
1,112,Hunting and Gathering Skills,2,14
1,112,Hunting and Gathering Skills,2,9
1,112,Hunting and Gathering Skills,2,8
1,112,Hunting and Gathering Skills,2,7
1,112,Martial Arts and Self-Defense,1,11
1,112,Martial Arts and Self-Defense,1,7.5
1,112,Martial Arts and Self-Defense,1,9.5
1,112,Martial Arts and Self-Defense,1,9.5
1,112,Martial Arts and Self-Defense,1,8.5
1,112,Martial Arts and Self-Defense,1,8.5
1,112,Shamanism and Spirit Communication,3,13
1,112,Shamanism and Spirit Communication,3,12
1,112,Shamanism and Spirit Communication,3,13.5
1,112,Storytelling and Oral Tradition,3,7.7
1,112,Storytelling and Oral Tradition,3,17
1,112,Storytelling and Oral Tradition,3,11.4
1,112,Storytelling and Oral Tradition,3,7.8
1,112,Storytelling and Oral Tradition,3,11.3
1,112,Storytelling and Oral Tradition,3,13.4
1,112,Storytelling and Oral Tradition,3,11.8
1,112,Storytelling and Oral Tradition,3,11.9
1,112,Storytelling and Oral Tradition,3,11.1
1,112,Tribal Law and Customs,1,9.6
1,112,Tribal Law and Customs,1,10.2
1,112,Tribal Law and Customs,1,9
1,112,Tribal Law and Customs,1,9.1
1,112,Tribal Law and Customs,1,7.9
1,116,Animal Lore and Totemism,1,14.25
1,116,Animal Lore and Totemism,1,13
1,116,Animal Lore and Totemism,1,16
1,116,Animal Lore and Totemism,1,14.25
1,116,Animal Lore and Totemism,1,10.75
1,116,Animal Lore and Totemism,1,16
1,116,Animal Lore and Totemism,1,11
1,116,Animal Lore and Totemism,1,17
1,116,Astronomy and Celestial Navigation,3,9
1,116,Astronomy and Celestial Navigation,3,15
1,116,Astronomy and Celestial Navigation,3,7.5
1,116,Drumming and Music,2,19.5
1,116,Drumming and Music,2,14
1,116,Drumming and Music,2,18.5
1,116,Drumming and Music,2,16
1,116,Drumming and Music,2,19
1,116,Drumming and Music,2,15
1,116,Drumming and Music,2,10.5
1,116,Earth Magic and Fertility Rituals,1,11
1,116,Earth Magic and Fertility Rituals,1,11.5
1,116,Earth Magic and Fertility Rituals,1,9
1,116,Earth Magic and Fertility Rituals,1,10
1,116,Earth Magic and Fertility Rituals,1,9.5
1,116,Earth Magic and Fertility Rituals,1,12
1,116,Earth Magic and Fertility Rituals,1,11
1,116,Earth Magic and Fertility Rituals,1,10
1,116,Earth Magic and Fertility Rituals,1,9
1,116,Herbalism and Traditional Medicine,3,13
1,116,Herbalism and Traditional Medicine,3,10.5
1,116,Herbalism and Traditional Medicine,3,12
1,116,Herbalism and Traditional Medicine,3,7
1,116,Hunting and Gathering Skills,2,14
1,116,Hunting and Gathering Skills,2,12
1,116,Hunting and Gathering Skills,2,11
1,116,Hunting and Gathering Skills,2,12
1,116,Hunting and Gathering Skills,2,10
1,116,Hunting and Gathering Skills,2,13
1,116,Martial Arts and Self-Defense,1,9
1,116,Martial Arts and Self-Defense,1,6.5
1,116,Martial Arts and Self-Defense,1,9
1,116,Martial Arts and Self-Defense,1,11.5
1,116,Martial Arts and Self-Defense,1,10.5
1,116,Martial Arts and Self-Defense,1,10
1,116,Martial Arts and Self-Defense,1,11
1,116,Martial Arts and Self-Defense,1,10.5
1,116,Shamanism and Spirit Communication,3,12.5
1,116,Shamanism and Spirit Communication,3,12.5
1,116,Shamanism and Spirit Communication,3,13.5
1,116,Storytelling and Oral Tradition,3,11.3
1,116,Storytelling and Oral Tradition,3,11.5
1,116,Storytelling and Oral Tradition,3,12.1
1,116,Storytelling and Oral Tradition,3,13.4
1,116,Storytelling and Oral Tradition,3,17.2
1,116,Storytelling and Oral Tradition,3,9.7
1,116,Storytelling and Oral Tradition,3,12.5
1,116,Storytelling and Oral Tradition,3,9
1,116,Tribal Law and Customs,1,8.9
1,116,Tribal Law and Customs,1,6.8
1,116,Tribal Law and Customs,1,9.4
1,116,Tribal Law and Customs,1,10
1,116,Tribal Law and Customs,1,7.9
1,116,Tribal Law and Customs,1,4
1,125,Animal Lore and Totemism,1,15.75
1,125,Animal Lore and Totemism,1,13.5
1,125,Animal Lore and Totemism,1,15.25
1,125,Animal Lore and Totemism,1,13.5
1,125,Animal Lore and Totemism,1,11.75
1,125,Animal Lore and Totemism,1,14.5
1,125,Animal Lore and Totemism,1,13.25
1,125,Animal Lore and Totemism,1,12
1,125,Astronomy and Celestial Navigation,3,9
1,125,Astronomy and Celestial Navigation,3,11
1,125,Astronomy and Celestial Navigation,3,14
1,125,Drumming and Music,2,17.5
1,125,Drumming and Music,2,14
1,125,Drumming and Music,2,16
1,125,Drumming and Music,2,14.5
1,125,Drumming and Music,2,11.5
1,125,Drumming and Music,2,10.5
1,125,Drumming and Music,2,12
1,125,Earth Magic and Fertility Rituals,1,8.5
1,125,Earth Magic and Fertility Rituals,1,9.5
1,125,Earth Magic and Fertility Rituals,1,11.5
1,125,Earth Magic and Fertility Rituals,1,9
1,125,Earth Magic and Fertility Rituals,1,8
1,125,Earth Magic and Fertility Rituals,1,9
1,125,Earth Magic and Fertility Rituals,1,9.5
1,125,Earth Magic and Fertility Rituals,1,7.5
1,125,Earth Magic and Fertility Rituals,1,8
1,125,Herbalism and Traditional Medicine,3,13.5
1,125,Herbalism and Traditional Medicine,3,17.5
1,125,Herbalism and Traditional Medicine,3,7
1,125,Herbalism and Traditional Medicine,3,15
1,125,Hunting and Gathering Skills,2,14
1,125,Hunting and Gathering Skills,2,9
1,125,Hunting and Gathering Skills,2,3
1,125,Hunting and Gathering Skills,2,13
1,125,Hunting and Gathering Skills,2,13
1,125,Hunting and Gathering Skills,2,9
1,125,Martial Arts and Self-Defense,1,9
1,125,Martial Arts and Self-Defense,1,8.5
1,125,Martial Arts and Self-Defense,1,7.5
1,125,Martial Arts and Self-Defense,1,10
1,125,Martial Arts and Self-Defense,1,7
1,125,Martial Arts and Self-Defense,1,7.5
1,125,Martial Arts and Self-Defense,1,7
1,125,Martial Arts and Self-Defense,1,8.5
1,125,Shamanism and Spirit Communication,3,11.5
1,125,Shamanism and Spirit Communication,3,11
1,125,Storytelling and Oral Tradition,3,9.9
1,125,Storytelling and Oral Tradition,3,10.6
1,125,Storytelling and Oral Tradition,3,10.8
1,125,Storytelling and Oral Tradition,3,12.4
1,125,Storytelling and Oral Tradition,3,11.2
1,125,Storytelling and Oral Tradition,3,9.3
1,125,Storytelling and Oral Tradition,3,8.1
1,125,Storytelling and Oral Tradition,3,8.1
1,125,Tribal Law and Customs,1,6.1
1,125,Tribal Law and Customs,1,10
1,125,Tribal Law and Customs,1,6.8
1,125,Tribal Law and Customs,1,8.7
1,125,Tribal Law and Customs,1,5.6
1,125,Tribal Law and Customs,1,9.5
1,148,Animal Lore and Totemism,1,20
1,148,Animal Lore and Totemism,1,12.75
1,148,Animal Lore and Totemism,1,12.75
1,148,Animal Lore and Totemism,1,13.75
1,148,Animal Lore and Totemism,1,10
1,148,Animal Lore and Totemism,1,10.25
1,148,Animal Lore and Totemism,1,12
1,148,Animal Lore and Totemism,1,16.5
1,148,Astronomy and Celestial Navigation,3,12.5
1,148,Astronomy and Celestial Navigation,3,11.5
1,148,Astronomy and Celestial Navigation,3,9.5
1,148,Drumming and Music,2,7.5
1,148,Drumming and Music,2,10.5
1,148,Drumming and Music,2,16.5
1,148,Drumming and Music,2,16
1,148,Drumming and Music,2,13.5
1,148,Drumming and Music,2,12
1,148,Earth Magic and Fertility Rituals,1,11.5
1,148,Earth Magic and Fertility Rituals,1,11.5
1,148,Earth Magic and Fertility Rituals,1,9
1,148,Earth Magic and Fertility Rituals,1,11.5
1,148,Earth Magic and Fertility Rituals,1,12.5
1,148,Earth Magic and Fertility Rituals,1,12.5
1,148,Earth Magic and Fertility Rituals,1,8
1,148,Earth Magic and Fertility Rituals,1,9.5
1,148,Herbalism and Traditional Medicine,3,15
1,148,Herbalism and Traditional Medicine,3,6
1,148,Herbalism and Traditional Medicine,3,8
1,148,Herbalism and Traditional Medicine,3,13
1,148,Hunting and Gathering Skills,2,10
1,148,Hunting and Gathering Skills,2,17
1,148,Hunting and Gathering Skills,2,8
1,148,Hunting and Gathering Skills,2,10
1,148,Hunting and Gathering Skills,2,6
1,148,Hunting and Gathering Skills,2,19
1,148,Martial Arts and Self-Defense,1,8.5
1,148,Martial Arts and Self-Defense,1,9
1,148,Martial Arts and Self-Defense,1,9
1,148,Martial Arts and Self-Defense,1,10.5
1,148,Martial Arts and Self-Defense,1,10
1,148,Martial Arts and Self-Defense,1,8.5
1,148,Martial Arts and Self-Defense,1,9
1,148,Shamanism and Spirit Communication,3,14.5
1,148,Shamanism and Spirit Communication,3,14.5
1,148,Storytelling and Oral Tradition,3,12.8
1,148,Storytelling and Oral Tradition,3,13.5
1,148,Storytelling and Oral Tradition,3,9.5
1,148,Storytelling and Oral Tradition,3,12.4
1,148,Storytelling and Oral Tradition,3,10.1
1,148,Storytelling and Oral Tradition,3,7.1
1,148,Storytelling and Oral Tradition,3,14.7
1,148,Storytelling and Oral Tradition,3,7.2
1,148,Storytelling and Oral Tradition,3,14.8
1,148,Tribal Law and Customs,1,6.5
1,148,Tribal Law and Customs,1,8
1,148,Tribal Law and Customs,1,7.5
1,148,Tribal Law and Customs,1,5.1
1,148,Tribal Law and Customs,1,5.3
1,148,Tribal Law and Customs,1,6.7
1,162,Animal Lore and Totemism,1,11.75
1,162,Animal Lore and Totemism,1,10.75
1,162,Animal Lore and Totemism,1,17.25
1,162,Animal Lore and Totemism,1,13.75
1,162,Animal Lore and Totemism,1,11.75
1,162,Animal Lore and Totemism,1,11
1,162,Animal Lore and Totemism,1,15.25
1,162,Animal Lore and Totemism,1,12
1,162,Astronomy and Celestial Navigation,3,11
1,162,Astronomy and Celestial Navigation,3,10
1,162,Astronomy and Celestial Navigation,3,13
1,162,Drumming and Music,2,12
1,162,Drumming and Music,2,16
1,162,Drumming and Music,2,12.5
1,162,Drumming and Music,2,19.5
1,162,Drumming and Music,2,16.5
1,162,Drumming and Music,2,20
1,162,Drumming and Music,2,19.5
1,162,Earth Magic and Fertility Rituals,1,7.5
1,162,Earth Magic and Fertility Rituals,1,12
1,162,Earth Magic and Fertility Rituals,1,9.5
1,162,Earth Magic and Fertility Rituals,1,10.5
1,162,Earth Magic and Fertility Rituals,1,11
1,162,Earth Magic and Fertility Rituals,1,9.5
1,162,Earth Magic and Fertility Rituals,1,8.5
1,162,Earth Magic and Fertility Rituals,1,10
1,162,Earth Magic and Fertility Rituals,1,12
1,162,Herbalism and Traditional Medicine,3,13
1,162,Herbalism and Traditional Medicine,3,12.5
1,162,Herbalism and Traditional Medicine,3,13.5
1,162,Herbalism and Traditional Medicine,3,11.5
1,162,Hunting and Gathering Skills,2,15
1,162,Hunting and Gathering Skills,2,13
1,162,Hunting and Gathering Skills,2,16
1,162,Hunting and Gathering Skills,2,13
1,162,Hunting and Gathering Skills,2,2
1,162,Hunting and Gathering Skills,2,15
1,162,Martial Arts and Self-Defense,1,8.5
1,162,Martial Arts and Self-Defense,1,9.5
1,162,Martial Arts and Self-Defense,1,8.5
1,162,Martial Arts and Self-Defense,1,7
1,162,Martial Arts and Self-Defense,1,8.5
1,162,Martial Arts and Self-Defense,1,9.5
1,162,Martial Arts and Self-Defense,1,6.5
1,162,Shamanism and Spirit Communication,3,14
1,162,Shamanism and Spirit Communication,3,11
1,162,Shamanism and Spirit Communication,3,11
1,162,Storytelling and Oral Tradition,3,9.3
1,162,Storytelling and Oral Tradition,3,13.4
1,162,Storytelling and Oral Tradition,3,10.4
1,162,Storytelling and Oral Tradition,3,8.8
1,162,Storytelling and Oral Tradition,3,11.5
1,162,Storytelling and Oral Tradition,3,11.3
1,162,Storytelling and Oral Tradition,3,14.3
1,162,Storytelling and Oral Tradition,3,14.2
1,162,Tribal Law and Customs,1,7.6
1,162,Tribal Law and Customs,1,9.6
1,162,Tribal Law and Customs,1,9.7
1,162,Tribal Law and Customs,1,1.8
1,162,Tribal Law and Customs,1,4
1,183,Animal Lore and Totemism,1,15.5
1,183,Animal Lore and Totemism,1,13.25
1,183,Animal Lore and Totemism,1,13.5
1,183,Animal Lore and Totemism,1,9.75
1,183,Animal Lore and Totemism,1,16.25
1,183,Animal Lore and Totemism,1,15
1,183,Astronomy and Celestial Navigation,3,11
1,183,Astronomy and Celestial Navigation,3,13
1,183,Astronomy and Celestial Navigation,3,10.5
1,183,Drumming and Music,2,16
1,183,Drumming and Music,2,10.5
1,183,Drumming and Music,2,13
1,183,Drumming and Music,2,15.5
1,183,Drumming and Music,2,13.5
1,183,Drumming and Music,2,16.5
1,183,Drumming and Music,2,19
1,183,Earth Magic and Fertility Rituals,1,7.5
1,183,Earth Magic and Fertility Rituals,1,9.5
1,183,Earth Magic and Fertility Rituals,1,7
1,183,Earth Magic and Fertility Rituals,1,10.5
1,183,Earth Magic and Fertility Rituals,1,12
1,183,Earth Magic and Fertility Rituals,1,10.5
1,183,Earth Magic and Fertility Rituals,1,9
1,183,Earth Magic and Fertility Rituals,1,11
1,183,Earth Magic and Fertility Rituals,1,9
1,183,Herbalism and Traditional Medicine,3,9.5
1,183,Herbalism and Traditional Medicine,3,10.5
1,183,Herbalism and Traditional Medicine,3,13
1,183,Herbalism and Traditional Medicine,3,17.5
1,183,Hunting and Gathering Skills,2,14
1,183,Hunting and Gathering Skills,2,16
1,183,Hunting and Gathering Skills,2,15
1,183,Hunting and Gathering Skills,2,9
1,183,Hunting and Gathering Skills,2,11
1,183,Hunting and Gathering Skills,2,8
1,183,Martial Arts and Self-Defense,1,7.5
1,183,Martial Arts and Self-Defense,1,9.5
1,183,Martial Arts and Self-Defense,1,9
1,183,Martial Arts and Self-Defense,1,10
1,183,Martial Arts and Self-Defense,1,8.5
1,183,Martial Arts and Self-Defense,1,10
1,183,Martial Arts and Self-Defense,1,11
1,183,Martial Arts and Self-Defense,1,9
1,183,Shamanism and Spirit Communication,3,13
1,183,Shamanism and Spirit Communication,3,13
1,183,Shamanism and Spirit Communication,3,10.5
1,183,Storytelling and Oral Tradition,3,11.5
1,183,Storytelling and Oral Tradition,3,10
1,183,Storytelling and Oral Tradition,3,10.6
1,183,Storytelling and Oral Tradition,3,11.5
1,183,Storytelling and Oral Tradition,3,14
1,183,Storytelling and Oral Tradition,3,9.6
1,183,Storytelling and Oral Tradition,3,7.7
1,183,Storytelling and Oral Tradition,3,11.9
1,183,Storytelling and Oral Tradition,3,12.8
1,183,Tribal Law and Customs,1,9.2
1,183,Tribal Law and Customs,1,7.4
1,183,Tribal Law and Customs,1,7.4
1,183,Tribal Law and Customs,1,11.1
1,183,Tribal Law and Customs,1,5.1
1,183,Tribal Law and Customs,1,9.9
1,184,Animal Lore and Totemism,1,13.25
1,184,Animal Lore and Totemism,1,14
1,184,Animal Lore and Totemism,1,12.75
1,184,Animal Lore and Totemism,1,14.25
1,184,Animal Lore and Totemism,1,12.75
1,184,Animal Lore and Totemism,1,10
1,184,Animal Lore and Totemism,1,16
1,184,Animal Lore and Totemism,1,12.75
1,184,Astronomy and Celestial Navigation,3,7.5
1,184,Astronomy and Celestial Navigation,3,9
1,184,Astronomy and Celestial Navigation,3,10.5
1,184,Drumming and Music,2,9.5
1,184,Drumming and Music,2,18
1,184,Drumming and Music,2,20
1,184,Drumming and Music,2,13.5
1,184,Drumming and Music,2,13.5
1,184,Drumming and Music,2,15
1,184,Drumming and Music,2,15.5
1,184,Earth Magic and Fertility Rituals,1,8.5
1,184,Earth Magic and Fertility Rituals,1,10.5
1,184,Earth Magic and Fertility Rituals,1,10.5
1,184,Earth Magic and Fertility Rituals,1,8.5
1,184,Earth Magic and Fertility Rituals,1,10.5
1,184,Earth Magic and Fertility Rituals,1,11.5
1,184,Earth Magic and Fertility Rituals,1,8.5
1,184,Earth Magic and Fertility Rituals,1,11
1,184,Earth Magic and Fertility Rituals,1,8.5
1,184,Herbalism and Traditional Medicine,3,14.5
